Year	CO2	CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	SO4_IND	TROP_O3	STRAT_O3	STRAT_H2O	BMB_AEROS_BC	BMB_AEROS_OC	BMB_AEROS	LANDUSE	BC	OC	OTHER
1750	2.77147e+02	7.31406e+02	2.73865e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1751	2.77188e+02	7.31838e+02	2.73894e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1752	2.77229e+02	7.32900e+02	2.73927e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1753	2.77263e+02	7.33634e+02	2.73973e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1754	2.77304e+02	7.34202e+02	2.74016e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1755	2.77351e+02	7.34736e+02	2.74051e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1756	2.77389e+02	7.35421e+02	2.74079e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1757	2.77442e+02	7.35893e+02	2.74096e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1758	2.77489e+02	7.36207e+02	2.74129e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
1759	2.77540e+02	7.36099e+02	2.74165e+02	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.30000e+00	2.50004e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.44657e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.40500e+01	0.00000e+00	0	0	0	0	0	0.00000e+00	0	0	0	0	0	0	0	0	0
